cityName,country,lat,lng,temp,minTemp,maxTemp,seaLevel,grndLevel,humidity,cloudiness,winds,windDegrees
Ahuimanu,US,21.44,-157.84,80.02,77.0,82.04,,,66,40,12.75,70.0
Colon,US,41.3,-96.61,24.49,23.0,24.98,,,56,90,14.99,330.0
Abilene,US,32.45,-99.73,33.66,33.26,33.98,,,69,90,19.46,360.0
Ketchikan,US,55.34,-131.65,50.38,46.04,53.96,,,73,1,9.17,60.0
Kapaa,US,22.08,-159.32,79.86,78.98,80.96,,,49,75,13.87,60.0
Tucumcari,US,35.17,-103.73,30.92,30.92,30.92,,,63,90,9.17,70.0
North Bend,US,43.41,-124.22,64.94,64.94,64.94,,,26,1,2.8,111.001
North Platte,US,41.12,-100.77,32.0,32.0,32.0,,,37,1,12.75,350.0
Bethel,US,60.79,-161.76,23.0,23.0,23.0,,,95,75,13.87,30.0
New Castle,US,41.0,-80.35,39.25,35.96,42.08,,,55,90,3.36,140.0
Warren,US,42.48,-83.03,40.33,38.48,42.08,,,49,90,3.36,220.0
Lewiston,US,46.42,-117.02,41.61,41.0,42.08,,,52,1,6.93,140.0
Juneau,US,58.3,-134.42,43.75,42.08,44.96,,,85,90,14.99,100.0
Kodiak,US,39.95,-94.76,26.96,26.96,26.96,,,68,90,18.34,350.0
Ukiah,US,39.15,-123.21,68.0,68.0,68.0,,,9,1,2.64,100.501
Pacific Grove,US,36.62,-121.92,73.15,68.0,75.92,,,15,1,1.86,100.001
Port Huron,US,42.98,-82.44,40.86,40.64,41.0,,,60,90,8.46,231.001
Marion,US,38.35,-97.02,25.59,24.98,26.06,,,74,90,20.8,360.0
Astoria,US,46.19,-123.83,60.98,60.98,60.98,,,30,1,11.41,90.0
Destin,US,30.39,-86.5,74.7,73.04,75.92,,,93,90,9.17,200.0
Pleasanton,US,37.66,-121.87,66.58,64.4,69.8,,,34,1,4.09,65.0015
Nampa,US,43.57,-116.56,45.07,44.06,46.4,,,24,1,3.42,186.501
Fairmont,US,40.64,-97.59,24.53,23.0,25.52,,,57,20,17.22,360.0
Santa Barbara,US,34.42,-119.7,77.49,75.02,78.98,,,11,1,10.29,230.0
Hilo,US,19.71,-155.08,71.64,68.36,75.92,,,76,90,8.05,260.0
Elko,US,40.83,-115.76,41.0,41.0,41.0,,,28,1,2.35,288.501
Venice,US,27.1,-82.45,82.45,82.04,82.94,,,74,1,8.05,200.0
Merrill,US,42.03,-121.6,53.96,53.96,53.96,,,14,1,3.65,92.0015
Ada,US,47.3,-96.52,11.8,8.6,14.0,,,56,1,6.93,300.0
Lively,US,33.6,-99.18,36.15,36.15,36.15,1043.91,998.54,80,88,26.13,7.50146
Steamboat Springs,US,40.48,-106.83,27.03,21.2,30.92,,,37,40,4.7,350.0
Kahului,US,20.89,-156.47,80.28,75.92,84.92,,,49,20,17.22,50.0
Rexburg,US,43.82,-111.79,32.83,28.04,35.96,,,30,1,5.82,
Fairbanks,US,64.84,-147.72,26.17,23.36,28.94,,,94,90,6.26,20.0015
Elizabeth City,US,36.3,-76.22,54.73,51.98,57.38,,,93,90,5.82,116.501
Conway,US,35.09,-92.44,42.46,39.2,44.6,,,86,90,4.7,320.0
Morgan City,US,29.7,-91.21,63.34,60.98,66.2,,,100,90,7.16,257.501
Durango,US,37.28,-107.88,35.19,30.92,37.94,,,51,20,12.75,280.0
Half Moon Bay,US,37.46,-122.43,66.83,64.4,69.8,,,34,1,2.91,50.5015
Virginia Beach,US,36.85,-75.98,53.04,50.18,55.94,,,93,90,6.93,90.0
Lady Lake,US,28.92,-81.92,82.63,80.6,84.92,,,69,40,3.36,260.0
Marquette,US,46.54,-87.4,26.92,23.0,28.94,,,79,90,10.29,310.0
Lompoc,US,34.64,-120.46,74.73,70.34,77.0,,,11,1,10.29,230.0
Lebanon,US,43.64,-72.25,40.39,37.94,42.98,,,56,1,4.7,170.0
Storm Lake,US,42.64,-95.21,22.28,21.2,23.72,,,57,75,17.22,340.0
Russellville,US,35.28,-93.13,42.08,42.08,42.08,,,67,90,16.11,10.0
Havelock,US,34.88,-76.9,60.13,55.04,69.08,,,93,90,10.29,70.0
Eureka,US,40.8,-124.16,58.75,55.94,62.6,,,45,1,4.7,320.0
El Campo,US,29.2,-96.27,51.66,49.1,53.06,,,82,90,14.99,330.0
Blytheville,US,35.93,-89.92,41.94,41.0,42.8,,,93,100,12.75,360.0
Mastic Beach,US,40.77,-72.85,47.1,45.68,48.02,,,67,1,8.34,202.501
Ponca City,US,36.73,-97.07,28.53,26.96,30.02,,,71,90,26.4,360.0
Rawlins,US,41.79,-107.24,23.79,23.0,24.98,,,54,75,16.11,280.0
Lander,US,42.83,-108.73,28.17,26.06,30.02,,,54,1,3.36,120.0
Anchorage,US,61.22,-149.89,35.49,33.8,37.04,,,92,75,10.18,95.0015
Sitka,US,37.17,-99.65,28.59,28.59,28.59,1049.83,971.22,76,64,21.36,1.50146
Grass Valley,US,39.22,-121.06,63.54,57.92,66.38,,,12,1,6.93,290.0
Saint Joseph,US,39.77,-94.85,26.96,26.96,26.96,,,68,90,18.34,350.0
Shawnee,US,35.33,-96.93,28.72,28.04,30.2,,,86,90,17.22,360.0
Bolivar,US,37.61,-93.41,28.04,28.04,28.04,,,81,90,19.46,350.0
Old Orchard Beach,US,43.52,-70.38,41.45,39.02,42.98,,,59,1,5.82,231.501
Mandan,US,46.83,-100.89,19.31,17.6,21.02,,,61,90,3.36,280.0
Mount Pleasant,US,33.16,-94.97,42.22,41.0,43.34,,,89,90,17.22,340.0
Kenai,US,60.55,-151.26,40.44,39.92,41.0,,,92,90,18.34,30.0
Fergus Falls,US,46.28,-96.08,13.77,10.4,17.06,,,66,1,8.05,350.0
Grants,US,35.15,-107.85,26.16,26.16,26.16,1044.48,794.27,48,20,11.41,117.001
Menomonie,US,44.88,-91.92,18.64,16.7,21.2,,,55,90,10.29,300.0
Scottsbluff,US,41.87,-103.67,35.06,35.06,35.06,,,30,1,14.99,300.0
Laurinburg,US,34.77,-79.46,46.51,44.06,50.0,,,92,90,12.75,70.0
Danville,US,36.59,-79.4,39.49,37.4,42.08,,,95,90,11.41,40.0
Worthington,US,43.62,-95.6,19.24,17.24,21.92,,,61,75,16.11,330.0
Utica,US,43.1,-75.23,44.96,44.96,44.96,,,47,75,3.36,90.0
Emporia,US,38.4,-96.18,26.06,26.06,26.06,,,74,90,17.22,360.0
Port Hueneme,US,34.15,-119.2,77.61,75.02,78.98,,,5,1,24.16,70.0
Payson,US,40.04,-111.73,38.25,37.94,38.48,,,30,1,5.82,250.0
Nantucket,US,41.28,-70.1,44.65,41.0,46.04,,,65,1,4.7,200.0
Valdosta,US,30.83,-83.28,68.61,67.28,69.98,,,88,1,3.36,130.0
Lock Haven,US,41.14,-77.45,43.14,41.0,44.06,,,56,90,3.31,162.001
Merritt Island,US,28.54,-80.67,81.05,77.0,84.02,,,85,40,5.82,150.0
Vicksburg,US,32.35,-90.88,53.98,53.06,55.04,,,100,90,6.93,360.0
Klamath Falls,US,42.22,-121.78,53.96,53.96,53.96,,,14,1,3.65,92.0015
Key Largo,US,25.09,-80.45,83.84,82.4,84.92,,,74,40,10.29,80.0
Edgewater,US,28.99,-80.9,79.36,75.2,84.02,,,88,75,11.41,140.0
Indianapolis,US,39.77,-86.16,40.44,36.86,42.08,,,76,90,6.93,360.0
Mount Juliet,US,36.2,-86.52,47.53,46.4,48.2,,,89,90,11.41,10.0
Huron,US,44.36,-98.21,22.42,21.92,23.0,,,49,1,12.75,330.0
Pecos,US,31.42,-103.49,37.9,37.04,38.84,,,53,90,17.22,10.0
Sturgeon Bay,US,44.83,-87.38,28.94,28.94,28.94,,,60,90,6.93,310.0
Charleston,US,38.35,-81.63,41.0,41.0,41.0,,,88,90,3.36,90.0
Starkville,US,33.45,-88.82,51.46,50.0,51.98,,,100,90,5.82,40.0
Hilton Head Island,US,32.16,-80.75,64.78,60.8,68.0,,,100,90,5.82,60.0
Uvalde,US,29.21,-99.79,48.42,47.84,48.92,,,69,90,19.46,350.0
Leon Valley,US,29.5,-98.62,48.42,42.8,51.98,,,75,90,24.16,360.0
Findlay,US,41.04,-83.65,40.41,39.02,41.0,,,64,90,3.36,340.0
Columbus,US,32.46,-84.99,51.28,45.68,60.98,,,100,90,5.82,20.0
Fallon,US,46.84,-105.12,32.0,32.0,32.0,,,58,1,9.17,260.0
Keokuk,US,40.4,-91.39,26.64,26.06,26.96,,,73,90,10.29,320.0
Sterling,US,39.0,-77.4,45.52,43.34,48.2,,,70,90,4.7,130.0
Canon City,US,39.46,-117.13,41.5,41.5,41.5,1046.55,823.53,13,0,3.58,5.00146
Coatesville,US,39.98,-75.82,45.52,42.8,48.02,,,56,1,3.8,160.501
Ojinaga,US,29.56,-104.41,55.05,55.05,55.05,1034.95,913.59,38,0,11.48,54.0015
Big Spring,US,32.25,-101.48,35.06,33.62,36.14,,,69,90,27.51,360.0
Monroe,US,41.91,-83.4,40.06,37.94,42.08,,,75,90,5.77,254.001
Panama City,US,30.16,-85.65,74.46,73.94,75.02,,,87,90,13.87,140.0
Pampa,US,35.54,-100.96,29.82,28.4,31.64,,,74,90,16.11,10.0
Port Arthur,US,29.9,-93.93,54.75,52.7,57.2,,,83,90,18.34,340.0
Aransas Pass,US,27.91,-97.15,55.72,53.06,57.02,,,85,90,29.97,350.0
Rapid Valley,US,44.06,-103.15,27.95,24.08,30.2,,,48,1,5.82,170.0
Altus,US,34.64,-99.33,32.43,30.92,33.98,,,67,90,24.16,360.0
West Wendover,US,40.74,-114.07,39.02,39.02,39.02,,,33,1,6.93,180.0
Harrison,US,39.26,-84.82,43.02,42.08,44.06,,,53,90,5.82,40.0
Spearfish,US,44.49,-103.86,30.2,30.2,30.2,,,39,1,14.99,300.0
Colorado Springs,US,38.83,-104.83,24.98,17.6,30.92,,,52,1,6.93,220.0
New Albany,US,38.29,-85.82,42.93,40.64,46.04,,,97,90,5.82,20.0
Kirksville,US,40.19,-92.58,25.45,24.8,26.06,,,68,90,14.99,320.0
Twin Falls,US,42.57,-114.46,39.63,39.02,39.92,,,27,1,8.05,30.0
Pella,US,41.41,-92.92,25.0,23.0,26.96,,,59,90,13.87,340.0
Great Falls,US,47.5,-111.29,33.37,32.72,33.98,,,62,20,17.22,230.0
Logansport,US,40.75,-86.36,37.96,37.4,39.02,,,76,90,6.93,360.0
Westerville,US,40.13,-82.93,39.94,37.4,42.08,,,48,90,2.91,122.501
Wasilla,US,61.58,-149.44,35.51,33.8,37.04,,,100,40,3.02,60.0015
Del Rio,US,29.36,-100.9,48.02,48.02,48.02,,,65,90,14.99,320.0
Green Valley,US,40.41,-89.64,30.24,28.94,32.0,,,93,90,10.29,340.0
Prattville,US,32.46,-86.46,48.72,45.5,51.08,,,96,90,9.17,60.0
Brattleboro,US,42.85,-72.56,39.7,33.98,44.96,,,72,1,3.87,208.501
Hattiesburg,US,31.33,-89.29,55.69,55.4,55.94,,,93,90,9.17,30.0
Helena,US,46.59,-112.04,33.98,33.98,33.98,,,45,1,8.05,100.0
Marinette,US,45.1,-87.63,29.53,28.94,30.02,,,55,90,8.05,340.0
South Lake Tahoe,US,38.93,-119.98,50.85,48.2,51.98,,,14,1,13.87,80.0
Clearlake,US,38.96,-122.63,66.43,64.94,68.0,,,9,1,3.31,35.5015
Bastrop,US,32.78,-91.91,45.79,43.88,48.02,,,98,90,10.29,320.0
Springfield,US,37.22,-93.29,28.04,28.04,28.04,,,81,90,19.46,350.0
Tooele,US,40.53,-112.3,39.13,37.94,41.0,,,35,1,12.75,320.0
Maumee,US,41.56,-83.65,39.63,37.94,41.36,,,64,90,3.36,340.0
Maryville,US,40.35,-94.87,27.09,26.6,28.04,,,58,90,14.99,10.0
Nuevo Progreso,US,26.05,-97.95,62.37,60.08,64.94,,,75,90,20.8,360.0
Roanoke,US,37.27,-79.94,36.28,35.42,37.04,,,92,90,3.36,110.0
Clarksburg,US,39.28,-80.34,40.24,39.2,42.08,,,72,90,2.3,49.5015
Norfolk,US,36.85,-76.29,52.52,50.0,55.94,,,93,90,5.82,116.501
Ridgecrest,US,35.62,-117.67,62.96,62.96,62.96,,,6,1,4.7,50.0
Stephenville,US,32.22,-98.2,37.78,36.14,39.56,,,84,90,21.92,350.0
Truckee,US,39.33,-120.18,51.64,48.2,57.92,,,13,5,8.05,33.0
Woodward,US,36.43,-99.39,28.67,28.4,28.94,,,66,40,21.92,360.0
College,US,64.86,-147.8,26.15,23.36,28.94,,,94,90,6.26,20.0015
Odessa,US,31.85,-102.37,35.44,35.06,36.14,,,61,90,20.8,20.0
Winnemucca,US,40.97,-117.74,48.02,48.02,48.02,,,18,1,4.7,20.0
Hermiston,US,45.84,-119.29,31.66,28.04,33.98,,,78,90,4.7,90.0
Kailua,US,21.39,-157.74,80.02,77.0,82.04,,,66,40,12.75,70.0
Baker City,US,44.77,-117.83,46.04,46.04,46.04,,,32,1,11.41,80.0
Price,US,39.6,-110.81,37.04,37.04,37.04,,,23,1,5.82,190.0
LaPlace,US,30.07,-90.48,66.18,60.8,78.08,,,96,90,5.82,340.0
Bismarck,US,46.81,-100.78,19.26,17.6,21.02,,,61,90,3.36,280.0
Wilmington,US,39.75,-75.55,46.26,42.8,48.02,,,56,1,6.89,160.001
Mountain Home,US,43.13,-115.69,43.93,42.44,44.96,,,29,1,9.17,120.0
Sonoita,US,31.68,-110.66,59.02,54.14,64.22,,,11,1,10.29,30.0
Healdsburg,US,38.61,-122.87,66.49,64.94,68.0,,,24,1,10.29,160.0
Bucksport,US,33.66,-79.1,52.79,46.4,57.92,,,100,90,8.79,118.501
Belle Glade,US,26.68,-80.67,82.27,82.04,82.4,,,65,1,10.29,150.0
Arthur,US,41.57,-101.69,33.44,33.44,33.44,,,30,1,14.99,330.0
Lamar,US,38.09,-102.62,30.92,30.92,30.92,,,60,75,13.87,350.0
Natchitoches,US,31.76,-93.09,51.87,47.3,53.96,,,94,90,14.99,340.0
Canyon,US,34.98,-101.92,29.19,26.96,31.1,,,74,90,20.8,10.0
Bozeman,US,45.68,-111.04,30.09,26.06,35.6,,,24,1,2.42,213.001
Sheridan,US,39.65,-105.03,26.4,17.6,33.8,,,58,1,3.36,120.0
Farmington,US,36.73,-108.21,32.94,30.92,35.96,,,39,75,3.36,140.0
Wahpeton,US,46.27,-96.61,13.69,12.2,15.8,,,56,20,12.75,330.0
Anahuac,US,29.77,-94.68,52.86,50.0,55.94,,,87,90,14.99,320.0
Salem,US,44.94,-123.03,55.96,55.04,57.02,,,35,1,9.17,340.0
Grand Island,US,40.92,-98.34,25.81,23.0,28.04,,,55,1,14.99,360.0
Wichita Falls,US,33.91,-98.49,33.26,32.0,33.98,,,78,90,28.86,10.0
Wooster,US,40.8,-81.94,39.27,37.04,41.0,,,48,90,6.93,140.0
Cumberland,US,41.97,-71.43,45.73,42.98,48.92,,,60,90,3.36,210.0
Butte,US,46.01,-112.54,24.98,24.98,24.98,,,59,1,2.86,224.501
Cheyenne,US,41.14,-104.82,24.08,24.08,24.08,,,45,1,18.34,340.0
Isla Vista,US,34.41,-119.86,75.99,73.94,78.08,,,11,1,10.29,230.0
Hoquiam,US,46.98,-123.89,58.86,57.92,60.08,,,34,1,16.11,70.0
Callaway,US,46.98,-95.91,12.97,12.2,14.0,,,66,40,10.29,320.0
Lake City,US,38.03,-107.32,24.35,24.08,24.8,,,35,75,9.17,280.0
Miles City,US,46.41,-105.84,32.0,32.0,32.0,,,55,1,8.05,250.0
Brigantine,US,39.41,-74.36,48.56,46.94,50.0,,,68,1,3.36,50.0
Ellsworth,US,38.73,-98.23,24.62,23.0,26.96,,,65,90,23.04,360.0
Lewistown,US,40.39,-90.15,27.79,26.06,28.94,,,88,90,12.75,340.0
Mount Holly,US,39.99,-74.79,47.43,44.96,48.92,,,53,1,4.03,163.001
Vincennes,US,38.68,-87.53,42.82,40.46,46.04,,,57,90,11.41,360.0
Coos Bay,US,43.37,-124.22,64.94,64.94,64.94,,,26,1,2.8,111.001
Lake Havasu City,US,34.47,-114.34,67.32,66.2,68.0,,,10,1,26.4,310.0
Glenwood Springs,US,39.55,-107.33,27.16,12.2,37.04,,,51,75,2.91,324.001
San Angelo,US,31.46,-100.44,37.04,37.04,37.04,,,72,90,21.92,360.0
Hutchinson,US,38.06,-97.93,26.01,24.98,26.96,,,80,90,17.22,360.0
Belle Fourche,US,44.67,-103.85,30.2,30.2,30.2,,,39,1,14.99,300.0
Jasper,US,33.83,-87.28,48.11,46.04,50.0,,,100,92,5.77,90.5015
Bemidji,US,47.48,-94.89,12.42,10.4,14.0,,,64,90,11.41,300.0
Brainerd,US,46.36,-94.2,14.56,12.2,19.04,,,56,90,8.05,350.0
Flagstaff,US,35.2,-111.65,39.7,33.98,48.2,,,15,1,11.41,60.0
Seminole,US,32.72,-102.64,32.34,32.0,32.72,,,57,90,20.8,10.0
Puerto Palomas,US,31.78,-107.63,48.92,48.92,48.92,,,24,1,17.22,50.0
Salina,US,36.29,-95.15,31.21,30.2,32.0,,,86,90,12.75,360.0
Ormond Beach,US,29.29,-81.06,77.65,75.2,82.04,,,100,75,6.93,120.0
West Monroe,US,32.52,-92.15,45.81,43.88,48.02,,,92,90,14.99,350.0
Albert Lea,US,43.65,-93.37,18.99,17.6,21.2,,,67,75,8.05,320.0
Aberdeen,US,45.47,-98.49,21.92,21.92,21.92,,,45,1,3.36,310.0
Cody,US,44.53,-109.06,30.92,30.92,30.92,,,53,1,10.29,100.0
Madison,US,43.07,-89.38,24.78,23.36,26.42,,,57,90,10.29,330.0
Alamosa,US,37.47,-105.87,24.08,24.08,24.08,,,47,20,8.05,320.0
Independence,US,39.09,-94.42,26.83,24.98,30.02,,,70,90,17.22,360.0
Monticello,US,45.31,-93.79,19.94,17.96,21.92,,,55,90,10.29,290.0
Butler,US,41.43,-84.87,39.06,37.4,40.1,,,76,90,4.59,305.501
Beckley,US,37.78,-81.19,37.76,35.96,40.1,,,88,90,3.36,90.0
Union,US,47.36,-123.1,57.18,52.16,60.98,,,40,1,5.82,160.0
Hopewell,US,37.3,-77.29,47.01,43.88,51.8,,,95,90,3.36,360.0
Albemarle,US,35.35,-80.2,41.52,38.48,44.78,,,100,90,5.82,340.0
Temecula,US,33.49,-117.15,77.02,70.7,82.04,,,5,1,6.15,57.5015
Washougal,US,45.58,-122.35,52.12,44.06,55.94,,,59,1,32.21,90.0
Ruidoso,US,33.33,-105.67,37.42,23.0,43.52,,,73,75,13.87,90.0
Kewanee,US,41.25,-89.92,29.05,27.68,31.28,,,88,90,10.29,340.0
Selma,US,36.57,-119.61,68.81,68.0,69.98,,,19,1,3.58,211.001
Greensboro,US,36.07,-79.79,39.0,37.4,42.08,,,95,90,9.84,36.5015
Cedar City,US,37.68,-113.06,39.92,39.92,39.92,,,32,1,12.75,350.0
Saint Marys,US,41.43,-78.56,39.88,37.04,42.08,,,50,90,5.82,130.0
Hollins,US,37.35,-79.95,36.16,35.42,37.04,,,92,90,3.36,110.0
Bainbridge,US,30.9,-84.58,71.69,69.8,73.4,,,78,40,3.36,170.0
Garfield Heights,US,41.42,-81.61,39.18,36.5,41.0,,,48,75,2.08,190.001
Oneonta,US,42.45,-75.06,40.69,40.69,40.69,1040.43,981.11,53,76,3.8,200.001
Portage Lakes,US,41.0,-81.54,39.38,36.5,41.0,,,48,90,6.93,140.0
Imperial Beach,US,32.58,-117.11,77.34,73.4,82.04,,,6,1,23.04,110.0
Indianola,US,40.24,-100.42,29.93,29.84,30.02,,,47,1,12.75,330.0
Rockledge,US,40.08,-75.09,46.22,42.8,48.92,,,48,1,4.03,163.001
Pierre,US,44.37,-100.35,26.06,26.06,26.06,,,54,1,10.29,270.0
Bogalusa,US,30.79,-89.85,63.7,60.8,68.0,,,89,90,3.36,40.0
Cookeville,US,36.16,-85.5,45.57,42.8,48.2,,,93,75,5.82,330.0
Yuma,US,32.73,-114.62,70.25,69.8,71.06,,,6,1,18.34,10.0
Monterey,US,36.6,-121.89,73.17,68.0,75.92,,,15,1,1.86,100.001
Ewa Beach,US,21.32,-158.01,80.01,77.0,82.04,,,52,20,11.41,80.0
Neenah,US,44.19,-88.46,27.16,26.06,28.94,,,45,90,11.41,300.0
Dallas,US,32.78,-96.8,38.57,37.04,41.0,,,76,90,23.04,340.0
Two Rivers,US,44.15,-87.57,27.68,26.06,28.94,,,60,90,6.93,300.0
Wilmington Island,US,32.0,-80.97,64.65,60.8,68.0,,,100,90,5.82,60.0
Hurricane,US,37.18,-113.29,45.41,39.92,51.98,,,18,1,5.82,270.0
Mount Clemens,US,42.6,-82.88,40.71,39.2,42.08,,,49,90,3.36,220.0
Dothan,US,31.22,-85.39,67.41,64.4,71.06,,,90,90,5.82,290.0
East Brunswick,US,40.43,-74.42,46.87,44.06,48.92,,,55,1,5.1,167.501
Houston,US,29.76,-95.37,50.4,48.2,51.98,,,81,90,17.22,340.0
Micco,US,27.85,-80.5,81.57,79.16,82.94,,,72,40,14.99,140.0
Poplar Bluff,US,36.76,-90.39,39.72,39.02,41.0,,,75,90,13.87,10.0
Hueytown,US,33.45,-87.0,50.5,48.92,53.96,,,92,90,10.29,70.0
Loveland,US,40.4,-105.08,29.86,26.06,33.8,,,50,1,5.14,155.001
Fall River,US,41.7,-71.15,46.22,42.98,48.92,,,65,20,3.36,200.0
Whitewater,US,42.83,-88.73,26.4,24.08,28.94,,,64,90,9.17,330.0
Carbondale,US,38.82,-95.69,27.72,24.98,30.02,,,57,90,16.11,360.0
Key West,US,47.93,-96.78,11.86,8.6,14.0,,,71,1,6.93,330.0
Mitchell,US,43.71,-98.03,23.0,23.0,23.0,,,49,1,12.75,330.0
Red Wing,US,44.56,-92.53,20.37,17.6,21.92,,,41,75,9.17,330.0
Redmond,US,47.67,-122.12,57.18,51.98,60.98,,,38,40,3.36,290.0
Elk City,US,35.41,-99.4,29.88,28.4,30.92,,,74,90,23.04,360.0
Charlestown,US,41.38,-71.64,46.81,44.96,48.92,,,70,75,6.93,180.0
Gatesville,US,31.44,-97.74,41.61,41.0,42.08,,,80,90,20.8,340.0
Meridian,US,32.36,-88.7,54.46,53.96,55.04,,,86,90,3.91,73.0015
Evanston,US,42.04,-87.69,31.6,28.94,34.16,,,68,90,8.05,320.0
Clearwater,US,27.97,-82.8,83.93,82.4,87.8,,,69,75,6.93,210.0
Cleburne,US,32.35,-97.39,38.91,37.04,41.54,,,86,90,23.04,330.0
Deming,US,32.27,-107.76,44.89,40.46,48.92,,,38,90,20.8,70.0
Chesapeake,US,36.72,-76.25,52.79,50.18,55.94,,,93,90,5.82,116.501
Memphis,US,35.15,-90.05,42.46,41.0,42.98,,,96,90,14.99,360.0
Ruston,US,32.52,-92.64,45.86,43.88,48.02,,,94,90,6.93,340.0
Benton,US,34.56,-92.59,42.69,41.0,44.6,,,92,90,3.36,
Sioux City,US,42.5,-96.41,22.35,20.3,24.8,,,53,75,13.87,340.0
East Wenatchee Bench,US,47.43,-120.28,36.52,30.92,39.02,,,92,1,4.7,200.0
Grinnell,US,41.74,-92.72,24.35,23.0,25.7,,,64,90,12.75,340.0
Susanville,US,40.42,-120.65,48.2,48.2,48.2,,,23,1,6.93,110.0
Brookings,US,44.31,-96.8,18.7,17.06,22.46,,,61,12,12.75,340.0
Fountain Hills,US,33.61,-111.72,65.3,64.04,66.56,,,9,1,11.41,70.0
